id,question,related_triples,retrieved_chunks
40,花岗岩体的轻稀土特征？,白云母二长花岗岩-轻稀土-亏损; 二云母二长花岗岩-轻稀土-亏损; 黑云母二长花岗岩-轻稀土-亏损,493.093.022.64Bω(Lu)0.580.520.510.37Bω(Y)15.8519.7223.6118.81B∑REE30.3056.05145.3171.22（La/Yb）0.5141.6165.8812.728NLREE/HREE1.9253.7527.7265.048δEu0.0320..3800.138从黑云母二长花岗岩到白云母二长花岗岩的稀土总量∑REE、（La/Yb）、N。320..3800.138从黑云母二长花岗岩到白云母二长花岗岩的稀土总量∑REE、（La/Yb）、NLREE/HREE、δEu等值由高到低，说明不同单元花岗岩从早到晚随着SiO含量的增2加，稀土元素与F-、Cl-等挥发分及Rb、Sn、W、Be、Nb、Pb、U等元素构成的络合物，且其的稳定性随原子序数的增大而增加，这就导致该类花岗岩轻稀土相对亏损而重稀土相对富集。。表3-5矿区岩体稀土元素含量及其有关参数表白云母二长花岗二云母二长花岗岩黑云母二长花岗岩川口地区花岗岩元素岩(10-6)(10-6)(10-6)(10-6)ω(La)3.028.4129.9112.13Bω(Ce)9.1120.4959.7525.42Bω(Pr)1.272.687.103.67Bω(Nd)4.609.7725.7014.20Bω(Sm)1.922.855.613.88Bω(Eu
41,花岗岩体的重稀土特征？,白云母二长花岗岩-重稀土-富集; 二云母二长花岗岩-重稀土-富集; 黑云母二长花岗岩-重稀土-富集,493.093.022.64Bω(Lu)0.580.520.510.37Bω(Y)15.8519.7223.6118.81B∑REE30.3056.05145.3171.22（La/Yb）0.5141.6165.8812.728NLREE/HREE1.9253.7527.7265.048δEu0.0320..3800.138从黑云母二长花岗岩到白云母二长花岗岩的稀土总量∑REE、（La/Yb）、N。320..3800.138从黑云母二长花岗岩到白云母二长花岗岩的稀土总量∑REE、（La/Yb）、NLREE/HREE、δEu等值由高到低，说明不同单元花岗岩从早到晚随着SiO含量的增2加，稀土元素与F-、Cl-等挥发分及Rb、Sn、W、Be、Nb、Pb、U等元素构成的络合物，且其的稳定性随原子序数的增大而增加，这就导致该类花岗岩轻稀土相对亏损而重稀土相对富集。。表3-5矿区岩体稀土元素含量及其有关参数表白云母二长花岗二云母二长花岗岩黑云母二长花岗岩川口地区花岗岩元素岩(10-6)(10-6)(10-6)(10-6)ω(La)3.028.4129.9112.13Bω(Ce)9.1120.4959.7525.42Bω(Pr)1.272.687.103.67Bω(Nd)4.609.7725.7014.20Bω(Sm)1.922.855.613.88Bω(Eu
42,岩体型白钨矿的磁异常特征？,岩体型白钨矿-磁异常-正磁异常,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: （2）花岗岩体内岩体型白钨矿磁异常主要表现为正磁异常，初步分析蚀变岩中可能有磁黄铁矿存在。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 结合地表地质情况，综合所获得的物化探资料以及解释结果，地面高精度磁测结果和音频大地电磁测深结果表明，花岗岩体内岩体型白钨矿磁异常主要表现为正磁异常，其电阻率主要表现为低阻体，在花岗岩分布区域内，在异常区经钻探验证找到较好的钨矿体。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 磁黄铁矿与其它地层岩石相比具有较强磁性，因此呈正磁异常，是岩体型白钨矿成矿有利地段。
43,石英脉型黑钨矿的磁异常？,石英脉型黑钨矿-磁异常-负磁异常,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 花岗岩体外接触带内的石英脉型黑钨矿磁异常主要表现为负磁异常，石英脉主要物质为弱磁性的石英，石英脉局部膨胀收缩，分枝尖灭，形态不够稳定，因而造成磁场强度局部变化较大。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: （2）花岗岩体内岩体型白钨矿磁异常主要表现为正磁异常，初步分析蚀变岩中可能有磁黄铁矿存在。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 石英脉型矿体以黑钨矿为主，可类比石英脉型矿石，采用重选法可获得较好效果。
44,中侏罗世岩前单元的电阻表现？,中侏罗世岩前单元-电阻表现-高电阻,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 下统岩关组(C)：上部为灰色薄－厚层泥灰岩夹页岩。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 中上统壶天群（C）:上部为白色致密状灰岩夹白云质灰岩；中部为灰白色2＋3h结晶白云岩夹灰岩，下部为灰黑色结晶质白云岩。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 测水组（C）：为灰白－紫红色中厚层石英砂岩、砂质页岩、页岩。
45,岩体型钨矿的电阻表现？,岩体型钨矿-电阻表现-中低阻,表4-1岩体型钨矿主要矿体特征表矿体矿（脉）体平均品位平均厚度控制长度控制宽度序号备注形态编号（%）（m）（m）（m）1480.1281.1010040似层状2490.16411.41100245似层状3500.18718.50100400似层状4510.16120.45100470似层状5520.16912.32100460似层状650-30.1663.5060100似层状750-40.124。911.990.0911.99/脉状4.2矿石质量4.2.1矿石矿物成分总体说来，本区矿石的矿物组成比较简单，岩体型钨矿、不整合面型钨矿的矿石矿物以白钨矿为主，石英脉型钨矿的矿石矿物以黑钨矿为主。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 岩体型钨矿近矿围岩化学成分见表3-3。
46,毛湾矿区的水文地质条件如何？,毛湾矿区-水文地质条件-中等,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 通过工作大致查明了毛湾矿区地层、岩浆岩、构造、围岩蚀变等基本特征，大致了解了主要钨矿脉的品位、厚度、产状等特征。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 但随着未来矿业活动的开展，人类工程活动将对区内地质环境造成一定破坏，可能导致崩塌、滑坡等地质灾害的发生。6.3.3土石环境评价毛湾矿区东南部为龙溪水库，龙溪水库两侧居民较多。
47,矿区的东南方向有什么地理特征？,毛湾矿区-东南方向-龙溪水库,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 10.3.2地质环境问题评价毛湾矿区东南部为龙溪水库，龙溪水库两侧居民较多。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 但随着未来矿业活动的开展，人类工程活动将对区内地质环境造成一定破坏，可能导致崩塌、滑坡等地质灾害的发生。6.3.3土石环境评价毛湾矿区东南部为龙溪水库，龙溪水库两侧居民较多。
48,湘南区域出露哪些元古界地层？,湘南区域-出露的地层-南华系天子地组; 湘南区域-出露的地层-震旦系上统灯影组; 湘南区域-出露的地层-震旦系下统江口组,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 图2-1湖南省大地构造略图9图2-2毛湾矿区区域地质图102.2区域地层区域内出露地层较齐全，有元古界青白口系、南华系、震旦系，古生界寒武系、泥盆系、石炭系、二叠系，中生界白垩系，新生界第三系、第四系。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: （3）震旦系零星出露于小汾沅一带，面积不足5Km2公里。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: （2）泥盆系地层分布很广，主要有锡矿山组（Dx）、佘田桥组（Ds）、棋梓33桥组（Dq）和跳马涧组（Dt）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 震旦系上统灯影组（Zd）：岩性为灰色厚层含灰质白云岩夹钙质页岩，厚8m。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 下统江口组（Zj）：为灰绿色含砂砾绢云母板岩，夹粉砂质绢云母板岩。
49,震旦系上统灯影组的岩性？,震旦系上统灯影组-岩性-灰色厚层含灰质白云岩夹钙质页岩,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 震旦系上统灯影组（Zd）：岩性为灰色厚层含灰质白云岩夹钙质页岩，厚8m。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 中上统壶天群（C）:上部为白色致密状灰岩夹白云质灰岩；中部为灰白色2＋3h结晶白云岩夹灰岩，下部为灰黑色结晶质白云岩。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 石蹬子组（C）：为灰－灰黑色中厚层隐晶质灰岩，含生物灰岩夹薄层灰岩。
50,寒武系地层的总厚度？,寒武系地层-厚度-2804m,在50-60m，最长可达100m；平均厚度8～13m；规模小的矿体走向长仅数十米，厚度1～5.60m。。.16912.32100460似层状650-30.1663.5060100似层状750-40.1241.6570160似层状852-10.1385.65100380似层状952-20.2301.20100180似层状1052-30.1401.00100145似层状矿体规模较大，单条矿体沿走向延长一般在50-60m，最长可达100m；平均厚度8～13m；规模小的矿体走向长仅数十米，厚度1～5.60m。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 厚度20～82m。
